
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[7]		220.0	-42.8	0.2657	0.239		6.7249	0.1046	0.0000		20.000
React-ive[8]		220.0	-42.9	0.2658	0.252		6.2383	0.1047	0.0000		20.000
React-ive[9]		220.0	-43.0	0.2658	0.268		5.7540	0.1065	0.0000		20.000
React-ive[10]		220.0	-43.1	0.2659	0.285		5.2715	0.1094	0.0000		20.000
React-ive[11]		220.0	-43.1	0.2659	0.305		4.7901	0.1131	0.0000		20.000
React-ive[12]		220.0	-43.1	0.2659	0.328		4.3096	0.1174	0.0000		20.000
React-ive[13]		220.0	-43.2	0.2659	0.354		3.8297	0.1221	0.0000		20.000
React-ive[14]		220.0	-43.2	0.2659	0.386		3.3502	0.1271	0.0000		20.000
React-ive[15]		220.0	-43.2	0.2659	0.423		2.8710	0.1324	0.0000		20.000
React-ive[16]		220.0	-43.2	0.2659	0.467		2.3921	0.1378	0.0000		20.000
React-ive[17]		220.0	-43.2	0.2660	0.523		1.9134	0.1434	0.0000		20.000
React-ive[18]		220.0	-43.2	0.2660	0.594		1.4349	0.1491	0.0000		20.000
React-ive[19]		220.0	-43.2	0.2660	0.686		0.9565	0.1549	0.0000		20.000
React-ive[20]		220.0	-43.2	0.2660	0.813		0.4782	0.1607	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.1607			19.998
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-09 14:02:17 - Function time
Elapsed time: 0:00:37
Total time:   0:03:53
============================================================================================================

> Working on Reflux, PR ratio = 0.14
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-368.				5.1686	1.3537	0.2256		4.1532

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	48.17	0.2556	0.171		10.901	0.4725	0.0000		20.000
React-ive[2]		220.0	-38.2	0.2630	0.185		9.5158	0.3074	0.0000		20.000
React-ive[3]		220.0	-40.7	0.2644	0.194		8.8608	0.2440	0.0000		20.000
React-ive[4]		220.0	-41.5	0.2649	0.204		8.3103	0.2073	0.0000		20.000
React-ive[5]		220.0	-41.9	0.2651	0.214		7.7873	0.1821	0.0000		20.000
React-ive[6]		220.0	-42.2	0.2653	0.226		7.2764	0.1642	0.0000		20.000
React-ive[7]		220.0	-42.4	0.2654	0.238		6.7732	0.1519	0.0000		20.000
React-ive[8]		220.0	-42.6	0.2656	0.252		6.2757	0.1440	0.0000		20.000
React-ive[9]		220.0	-42.7	0.2656	0.267		5.7829	0.1396	0.0000		20.000
React-ive[10]		220.0	-42.9	0.2657	0.285		5.2937	0.1377	0.0000		20.000
React-ive[11]		220.0	-42.9	0.2658	0.305		4.8073	0.1377	0.0000		20.000
React-ive[12]		220.0	-43.0	0.2658	0.328		4.3228	0.1392	0.0000		20.000
React-ive[13]		220.0	-43.1	0.2658	0.354		3.8399	0.1417	0.0000		20.000
React-ive[14]		220.0	-43.1	0.2659	0.385		3.3580	0.1450	0.0000		20.000
React-ive[15]		220.0	-43.1	0.2659	0.422		2.8770	0.1488	0.0000		20.000
React-ive[16]		220.0	-43.1	0.2659	0.467		2.3966	0.1531	0.0000		20.000
React-ive[17]		220.0	-43.2	0.2659	0.523		1.9167	0.1578	0.0000		20.000
React-ive[18]		220.0	-43.2	0.2659	0.593		1.4371	0.1627	0.0000		20.000
React-ive[19]		220.0	-43.2	0.2659	0.686		0.9578	0.1678	0.0000		20.000
React-ive[20]		220.0	-43.2	0.2659	0.813		0.4788	0.1731	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.1731			19.998
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-09 14:02:47 - Function time
Elapsed time: 0:00:30
Total time:   0:04:23
============================================================================================================

> Working on Reflux, PR ratio = 0.11
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-392.				5.1931	1.7109	0.2138		4.1442

